NOM / Fournisseur,DATE,Commentaire,CHARGES € HT,n°,Signataire,Type doc,Réf Gestion,N° Facture,Valideur,
Fiducial,31/01/2025,"Feuilles, gobelets, HDMI","178,07 €",,MDL,Facture,S1I,,,
Fiducial,31/01/2025,"Bonbonne, capsule","156,46 €",,MDL,Facture,S1I,,,
LEP,31/12/2024,Loc echaf cour anglaise janv 25,"124,00 €",,MDL,Facture ,S1G,,,
Fiducial,27/02/2025,"Cartouches, gants, eau, mètre","317,64 €",,MDL,Facture,S1I,,,
KILOUTOU,28/02/2025,location chauffage17/02 au 16/03,"360,73 €",,MDL,Facture ,S1A,,,
KILOUTOU,28/02/2025,avoir location chauffage17/02 au 16/03,"-360,73 €",,MDL,Facture ,S1A,,,
KILOUTOU,28/02/2025,avoir location chauffage17/02 au 16/03,"221,94 €",,MDL,Facture ,S1A,,,
KILOUTOU,28/02/2025,location chauffage 24/02 au 24/03,"360,73 €",,MDL,Facture ,S1A,,,
LEP,31/01/2025,Loc echaf cour anglaise fev 25 + retour,"555,00 €",,MDL,Facture ,S1G,,,
Fiducial,27/02/2025,"Cartouches, gants, eau, mètre","310,52 €",,MDL,Facture,S1I,,,
KILOUTOU,28/03/2025,location chauffage17/03 au 24/03,"78,00 €",,MDL,Facture ,S1A,,,
KILOUTOU,28/03/2025,Rallonge electrique,"34,52 €",,MDL,Facture ,S1A,,,
ORANGE,17/01/2025,ORANGE janv 25,"53,00 €",,MDL,facture,F14,,,
ORANGE,17/02/2025,ORANGE fev 25,"53,00 €",,MDL,facture,F14,,,
ORANGE,17/03/2025,ORANGE mars 25,"53,00 €",,MDL,facture,F14,,,
DHL,31/03/2025,Envoi échantillon Rep Tchèque,"91,00 €",,MDL,Facture ,S1I,,,
SOIB,02/04/2025,Protection sol,"208,50 €",,MDL,Facture,S1A,,,
AIDF,15/04/2025,Demande occupation avenue Gabriel (MàJ),"600,00 €",,MDL,Facture,F3,,,
SOIB,16/04/2025,Protection sol,"228,00 €",,TCH,Devis,S1A,,,
ENDLESS (bigbag),16/04/2025,Big Bag Mars ,"552,30 €",014030,ARU,Facture,S1A,,,
MAX PRO NETTOYAGE ,05/05/2025,Nettoyage R2/R3 (30.04 & 02.05),"900,00 €",001179,ARU,Facture,S1H,,,
coursier,31/03/2025,Bouton BDF,"94,46 €",,MDL,Facture ,S1I,,,
Fiducial,30/04/2025,Gants,"7,12 €",,MDL,Facture,S1I,,,
KILOUTOU,28/04/2025,Rallonge electrique,"34,52 €",,MDL,Facture ,S1A,,,
Studio Jessel,04/02/2025,Film fev 25,"1 625,00 €",,MDL,facture,F14,,,
Studio Jessel,13/03/2025,Film fev 25,"1 625,00 €",,MDL,facture,F14,,,
ENDLESS (bigbag),30/04/2025,Big Bag Avril,"236,70 €",014734,ARU,Facture,S1A,,,
SOIB,06/05/2025,Ruban LED ,"182,40 €",102928,MDL,Facture,S1A,,,
Fiducial,15/05/2025,Eau et pochettes,"126,98 €",,MDL,Facture,S1I,,,
AIDF,16/05/2025,Panneaux de signalisation,"486,81 €",FAC_2025_05_0131,TCH,Facture,S1I,,,
SOIB,16/05/2025,"Déshumidificateurs, baches et divers","982,55 €",103257,TCH,Devis,S1A,,,
Protecta screen ,19/05/2025,Protections de chantier ,"467,32 €",T511291,ARU,Devis,S1A,,,
KILOUTOU,19/05/2025,Groupe électrogène + essence,"580,00 €",38475898,TCH,Devis,S1I,,,
ERIGE,20/05/2025,2 mois supp - Timelapse piscine SS2,"400,00 €",FA4231,TCH,Facture,F14,,,
AIDF,21/05/2025,Demande prolongation emprise 18EL,"200,00 €",S18426_PROL,MDL,Facture,S1I,,,
MAX PRO NETTOYAGE ,03/06/2025,"Nettoyage divers (26, 28, 31.05)","750,00 €",F02077,ARU,Facture,S1H,,,
MAX PRO NETTOYAGE ,04/06/2025,Nettoyage étages (04.06),"450,00 €",DEV001201,ARU,Devis ,S1H,,,
Protecta screen ,04/06/2025,Protections sous sols ,"172,56 €",,ARU,Devis ,S1A,,,
KILOUTOU signal,31/05/2025,Barrière base vie,"335,25 €",,ARU,Devis,S1I,,,
KILOUTOU,05/06/2025,Transpalette travaux enedis ,"721,26 €",,MDL,Facture,S1A,,,
SOIB,09/06/2025,Protections sol ,"190,00 €",104670,ARU,Devis,S1A,,,
ENDLESS (bigbag),31/05/2025,Big Bag mai ,"730,20 €",15410,ARU,Facture,S1A,,,
ORANGE,01/05/2025,ORANGE Avril 25,"54,00 €",,MDL,facture,F14,,,
SOIB,26/05/2025,"Cafetiere, cendrier, poteaux","274,60 €",103751,MDL,Facture,S1A,,,
SOIB,05/06/2025,Rallonges lanières protection armoire,"826,70 €",104378,TCH,Devis,S1A,,,
MAX PRO NETTOYAGE ,05/06/2025,Nettoyage (06.06 & 07.06) ,"500,00 €",F02108,ARU,Facture,S1H,,,
KILOUTOU,10/06/2025,Essence base vie,"605,00 €",,TCH,Devis,S1I,,,
KILOUTOU,28/05/2025,Rallonge electrique,"34,52 €",,MDL,Facture ,S1A,,,
DHL,13/06/2025,Envoi échantillon peinture Rep Tchèque,"47,04 €",,TCH,Facture,S1I,,,
SOIB,17/06/2025,Poubelle polyane surchaussures,"127,00 €",105204,TCH,Devis,S1A,,,
KILOUTOU,20/06/2025,Karcher,"600,60 €",38685791,TCH,Devis,,,,
DHL,20/06/2025,Envoi échantillon dorure Rep Tchèque,"112,81 €",,TCH,Devis,,,,
SOIB,23/06/2025,Casiers,"1 148,40 €",105497,TCH,Devis,S1A,,,
KILOUTOU,24/06/2025,Karcher,"219,88 €",38681705,TCH,Devis,S1A,,,
MAX PRO NETTOYAGE ,26/06/2025,Nuit remplissage piscine,"1 050,00 €",DEV001208 / F02098,ARU,Facture,S1H,,,
MAX PRO NETTOYAGE ,24/06/2025,"Nettoyage juin (11.06, 21.06 & 24.06)","950,00 €",DEV001211 / F02099,ARU,Facture,S1H,,,
SOIB,27/06/2025,6 protections blanches,"228,00 €",105865,TCH,Devis,S1A,,,
SOIB,30/06/2025,6 protections blanches + scotchs,"274,00 €",105889,TCH,Devis,,,,
SOIB,01/07/2025,Climatisations et bombes coupe-feu,"1 017,14 €",106081,TCH,Devis,S1A,,,
MAX PRO NETTOYAGE ,25/06/2025,Nettoyage 25.06,"450,00 €",F02109,ARU,Facture,S1H,,,
MAX PRO NETTOYAGE ,24/06/2025,Nettoyage (26.06 & 27.06 + soirée),"1 200,00 €",F02110,ARU,Facture,S1H,,,
SOIB,04/07/2025,6 protections blanches,"228,00 €",106419,TCH,Devis,,,,
ORANGE,01/06/2025,ORANGE Mai 25,"54,00 €",,ARU,facture,F14,,,
ENDLESS (bigbag),30/06/2025,big bag juin première partie,"217,00 €",015912,ARU,Facture,S1A,,,"Total fac : 
2011,9"
ENDLESS (bigbag),30/06/2025,big bag juin ,"1 794,90 €",015912,ARU,Facture,S1A,,,
SOIB,07/07/2025,"Transpalette, surchaussures","429,00 €",106453,TCH,Devis,S1A,,,
CIF BOIS ,09/07/2025,CP bois protections ,"357,13 €",DE34935,ARU,Devis ,S1A,,,
DHL,20/06/2025,Envoi échantillon dorure Rep Tchèque,"47,04 €",,MDL,Facture,,,,
KILOUTOU,24/06/2025,Essence juin + groupe élec juin,"1 166,00 €",38681705,MDL,Facture,,,,
KILOUTOU,16/07/2025,Essence juillet,"616,20 €",38849803,TCH,Devis,,,,
MAX PRO NETTOYAGE ,10/07/2025,Nettoyage étages (05.07),"450,00 €",F02112,ARU,Facture,S1H,,,
MAX PRO NETTOYAGE ,16/07/2025,Nettoyage étages (16.07),"250,00 €",F02113,ARU,Facture,S1H,,,
CIF BOIS ,22/07/2025,CP bois protections ,"318,88 €",35098,ARU,Devis ,S1A,,,
SOIB,21/07/2025,Protections,"240,30 €",107278,ARU,Devis,S1A,,,
SOIB ,25/07/2025,Spots sur batterie,"556,00 €",107521,ARU,Devis,S1A,,,
Fiducial,30/07/2025,"Eau, café","190,68 €",,MDL,Facture,S1I,,,
Fiducial,30/06/2025,Bouteille d'eau,"56,56 €",,MDL,Facture,S1I,,,
KILOUTOU,01/07/2025,Rallonge electrique,"34,53 €",,MDL,Facture ,S1A,,,
KILOUTOU,01/07/2025,Karcher 24/06 au 30/06,"39,82 €",,MDL,Facture,S1A,,,
KILOUTOU,29/07/2025,Groupe BV août 25,"499,40 €",,MDL,Facture,S1I,,,
KILOUTOU SIGNAL,31/05/2025,Barrière mai,"335,25 €",,MDL,Facture,S1I,,,
LEP,30/06/2025,Echaf escalier principal juin 25,"3 290,00 €",,MDL,Facture,S1G,,,
Wurth,10/07/2025,Chaussure EPI,"81,25 €",,ARU,Devis,S1I,,,
Wurth,08/07/2025,Chaussure EPI,"162,40 €",,ARU,Devis,S1I,,,
MAX PRO NETTOYAGE ,30/07/2025,Nettoyage étages (29.07),"250,00 €",2143,ARU,Facture,S1H,,,
KILOUTOU,07/08/2025,Essence Aout,"691,52 €",,TCH,Devis ,,,,
SOIB ,08/08/2025,Surchaussures scotch,"172,32 €",108075,TCH,Devis,,,,
SOIB ,18/08/2025,Porte local eau et échelle,"183,00 €",108286,TCH,Devis,S1A,,,
KILOUTOU SIGNAL,31/06/2025,Barrière juin,"333,00 €",,MDL,Facture,,,,
ENDLESS (bigbag),31/07/2025,big bag juillet 25,"1 301,40 €",016507,ARU,Facture,S1A,,,
NOBLET,07/07/2025,Eau juillet,"448,00 €",A07072025M,TCH,Devis,,,,
NOBLET,20/08/2025,Eau aout,"448,00 €",125070607,TCH,Facture,,,,
AIDF,20/08/2025,prolongation voirie aout 2025 - mars 2026,"200,00 €",FAC/2025/09/0166,TCH,Facture,S1I,,,
ERIGE,19/08/2025,Timelapse piscine SS2 facture finale,"750,00 €",FA4396,TCH,Facture,F14,,,
Studio Jessel,22/07/2025,Film mai-juillet 25,"1 725,00 €",202263,TCH,Facture,F14,,,
Fiducial ,28/08/2025,"Eau, café, bouteilles ","155,74 €",10423624,ARU,Facture,S1I,,,
KILOUTOU,03/09/2025,Essence Septembre,"691,52 €",39099398,ARU,Devis,,,,
SOIB,29/08/2025,Surchaussures ,"60,00 €",108863,ARU,Devis ,S1A,,,
CIF BOIS ,11/09/2025,CP bois protections ,"322,58 €",35504 / FAC 55 767,ARU,Devis,S1A,,,
KILOUTOU,29/08/2025,Groupe BV sept 25,"499,40 €",,MDL,Facture,,,,
LDA,29/08/2025,Location fontaine 07/25 à 07/26,"534,65 €",,MDL,Facture,,,,
Fiducial,22/09/2025,Cartouches + eau ,"78,44 €",,ARU,Devis,,,,"26,72"
KILOUTOU,29/09/2025,Radiateurs ,"488,88 €",39253316,ARU,Devis,,,,
SOIB,30/09/2025,Protections + ruban led ,"488,00 €",110587,ARU,Devis,S1A,,,
MAX PRO NETTOYAGE ,22/09/2025,Nettoyage étages (05/09),"450,00 €",F02178,ARU,Facture,S1H,,,
MAX PRO NETTOYAGE ,29/09/2025,"Nettoyage étages (24,26,30/09 & 01/10)","1 600,00 €",F02179,ARU,Facture,S1H,,,
KILOUTOU,02/10/2025,Essence début Octobre,"334,80 €",39274945,ARU,Devis,,,,
ENDLESS (bigbag),30/09/2025,big bag septembre ,"1 317,90 €",17855,ARU,Facture,S1A,,,
SOIB,06/10/2025,"Pompe, protections & lampe led","694,64 €",110917,ARU,Devis,S1A,FC_251028818,AG,
MAX PRO NETTOYAGE ,08/10/2025,Nettoyage étages (11/10) ,"1 034,00 €",02182,ARU,Facture,S1H,,,
SOIB,10/10/2025,Bequille + miroir ,"57,10 €",111248,ARU,Facture,S1H,,,
KILOUTOU,15/10/2025,Essence fin Octobre ,"655,76 €",39363962,ARU,Devis,,,,
SOIB,20/10/2025,Protections de sol + cornières d'angle + rallonge élec,"486,16 €",111771,ARU,Devis ,S1A,FC_251029798,AG,
NOBLET ,22/10/2025,Eau Octobre ,"448,00 €",25100055,ARU,Devis,,,,
CIF BOIS ,23/10/2025,Isorel pour protection,"205,42 €",N°35985,AG,Devis,,56241,AG,
KILOUTOU,26/09/2025,Groupe BV 21/09 au 20/10,"499,40 €",,AG,Facture,S1I,36653682,AG,
KILOUTOU,30/10/2025,Groupe BV 21/10 au 20/11,"499,40 €",,AG,Facture,S1I,36868030,AG,
LEP,03/11/2025,Echaf piscine,"1 790,00 €",D2512610,ARU,Devis,,FL20112689,AG,
,,,,,,,,FL20112689,AG,"  1 253,00 € "
,,,,,,,,FL20112887,AG,"  537,00 € "
ENDLESS (bigbag),31/10/2025,big bag Octobre,"1 024,00 €",,ARU,Facture,,FACTE1-018342,AG,
SOIB,13/11/2025,"gants, cutters & protections","167,45 €",113145,ARU,Devis,,FC_251130845,AG,
NOBLET,14/11/2025,Eau Novembre ,"448,00 €",,ARU,Devis,,FA125110184,AG,
Fiducial ,14/11/2025,Eau café ,"68,37 €",02103540,ARU,Devis,,10569526,AG,
KILOUTOU,20/11/2025,Nouveau générateur à essence,"1 247,84 €",39572609,ARU,Devis,,,,
MAX PRO NETTOYAGE,20/11/2025,Nettoyage étages (20/11),"450,00 €",001280,ARU,Devis,,,,
Fiducial,22/10/2025,"Bonbonne d'eau, café, cartouche","103,68 €",02063621,AG,Devis,,,,"77,8"
SOIB,21/11/2025,Rallonge elec trotec,"120,00 €",113649,ARU,Devis,,FC_251231322,AG,
SOIB,27/11/2025,Protections de sol ,"190,00 €",114029,ARU,Devis,,FC_251231639,AG,
KILOUTOU,04/12/2025,Essence Décembre,"691,52 €",39642723,ARU,Devis,,,,
MAX PRO NETTOYAGE,11/12/2025,Nettoyage étages (15-16-17/12),"750,00 €",02226,ARU,Facture,,F02226,AG,
SOIB,15/12/2025,Protections de sol ,"380,00 €",,ARU,Devis,,FC_251232140,AG,
ENDLESS (bigbag),30/11/2025,Big bag Novembre,"1 005,00 €",019354,ARU,Facture,,FACTE1-019354,AG,
ENDLESS (bigbag),30/11/2025,Big bag Décembre,"809,10 €",019679,ARU,Facture,,FACTE1-019679,AG,
MAX PRO NETTOYAGE,17/12/2025,Nettoyage étages (18-19/12 & 22/12),"950,00 €",02227,ARU,Facture,,F02227,AG,
KILOUTOU,23/12/2025,Essence Janvier,"655,76 €",39769630,ARU,Devis,,,,
Coursier,02/12/2025,Déplacement casier,"104,46 €",,AG,,,FA20251204453,AG,
Coursier,18/12/2025,Déplacement écrans,"43,76 €",,AG,,,FA20251204454,AG,
Point P,27/11/2025,Domisol gym,"435,62 €",,AG,Devis,,501C2004595437 ,AG,
Orange,03/11/2025,nov.-25,"55,00 €",,AG,Facture,,,,
Orange,01/12/2025,déc.-25,"55,00 €",,AG,Facture,, 01B056E029 2518- 1A12,AG,
ENDLESS (bigbag),31/12/2025,Big bag Décembre,"631,20 €",020210,ARU,Facture,,FACTE1-020210,AG,
MAX PRO NETTOYAGE,07/01/2026,Remplissage piscine et nettoyage étages (08/01),"495,00 €",02238,ARU,Facture,,F02238,AG,
MAX PRO NETTOYAGE,07/01/2026,Nettoyage 2x/sem jusqu'au 28/02,"3 150,00 €",001297,ARU,Devis,,,,
ENDLESS (bigbag),31/08/2025,Big bag aout,"1 677,00 €",,AG,Facture,,FACTE1-017357,AG,
ENDLESS (bigbag),17/11/2025,Big bag Novembre,"469,80 €",,AG,Facture,,FACTE1-019063,AG,
NOBLET ,22/10/2025,Eau Janvier,"448,00 €",26010028,ARU,Devis,,,,
KILOUTOU,29/01/2026,Essence Février,"682,42 €",39896849,ARU,Devis,,,,
SOIB,02/02/2026,Protections de sol + surchaussures,"310,00 €",,ARU,Devis,,,,
KILOUTOU,30/01/2026,Gazelle R1,"569,31 €",39896849,AG,Devis,,37375150,ARU,
MAX PRO NETTOYAGE,04/02/2026,Moitié du nettoyage 2x/semaine (voir ligne 437),"1 575,00 €",F02261,ARU,Facture,,,,
ENDLESS (bigbag),03/02/2026,Big bag janvier,"394,50 €",1202602302,ARU,Facture,,,,
Sixte,06/02/2026,Plaques de sondes,"301,00 €",,ARU,Devis,,,,
CIF BOIS,12/02/2026,CP protection bureau 01 ,"141,67 €",37021,ARU,Devis,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,"331 396,37 €",,,,,,,
,,,"3 987,12 €",,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,22-sept.,"26,72 €",,,,,,,
,,22-oct.,"77,80 €",,,,,,,
,,15-oct.,"51,76 €",,,,,,,
,,23-oct.,"73,88 €",,,,,,,
