NOM / Fournisseur,DATE,Commentaire,CHARGES € HT,n°,Signataire,Type doc,Réf Gestion,N° Facture,Valideur,
PROTECHOM,20/02/2024,Blouson chantier,"435,20 €",,LDE,facture,S1D,,,
AMAZON,16/10/2023,Café,"82,69 €",,LDE,facture,S1E,,,
ALTRAD,02/10/2023,location base vie sept 23,"390,00 €",,LDE,facture,S1G,,,
MGA,04/10/2023,Travaux logistique - Sept,"1 400,00 €",,LDE,facture,S1A,,,
MGA,04/10/2023,Travaux logistique - Sept,"2 530,00 €",,LDE,facture,S1A,,,
MGA,04/10/2023,Travaux logistique - AOUT,"1 800,00 €",,LDE,facture,S1A,,,
MGA,04/10/2023,Travaux logistique - AOUT,"1 300,00 €",,LDE,facture,S1A,,,
MGA,04/10/2023,Travaux logistique - AOUT,"250,00 €",,LDE,facture,S1A,,,
MGA,04/10/2023,Travaux logistique - Sept,"1 320,00 €",,LDE,facture,S1A,,,
MGA,04/10/2023,Travaux logistique - AOUT,"300,00 €",,LDE,facture,S1A,,,
SOIB,06/10/2023,EPIS + bureau,"266,05 €",,LDE,devis,S1D,,,
ALTRAD,16/10/2023,location base vie octobre 23,"403,00 €",,LDE,facture,S1G,,,
LEP,29/10/2023,Location Parapluie + tunnel + EP +filet SEPT 23,"2 660,50 €",,LDE,facture,S1G,,,
BC2E EDI,31/10/2023,rapport amiante plomb,"6 050,00 €",,LDE,facture,,,,
MGA,13/11/2023,Travaux Octobre 23,"7 255,00 €",,LDE,facture,S1A,,,
Studio Jessel,07/11/2023,Film sep - oct 23,"1 625,00 €",,LDE,facture,F14,,,
Caution PRE,SO,,"398,73 €",,,virement,F16,,,
coursier 30/09 ,30/09/2023,echantillon marbre siège,"40,41 €",,,virement,S1A,,,
AMAZON,15/11/2023,pied TV,"63,74 €",,ARU,virement,S1D,,,
AMAZON,15/11/2023,gobelet cartons,"14,17 €",,ARU,virement,S1D,,,
AMAZON,15/11/2023,café + lingettes,"26,12 €",,ARU,virement,S1D,,,
AMAZON,15/11/2023,Pare avent,"256,64 €",,,virement,S1D,,,
Paul GRASSI ,20/11/2023,Synthèse Carneau cour anglaise,"180,00 €",,LDE,facture,E3,,,
BRUNEAU,04/12/2023,Cartouche encre,"484,00 €",,ARU,facture,S1D,,,
AMAZON,21/11/2023,porte manteau + égoutoir,"31,64 €",,ARU,virement,S1D,,,
Paul GRASSI ,20/12/2023,Synthèse Carneau piscine,"270,00 €",,LDE,facture,E3,,,
AMAZON,27/11/2023,papier ,"27,49 €",,LDE,virement,,,,
LEP,27/11/2023,Loc Oct 23,"3 665,50 €",,LDE,facture,S1G,,,
ORANGE,27/11/2023,fibre  16/11 - 15/12,"48,00 €",,LDE,facture,F14,,,
ORANGE,27/11/2023,fibre 12/09- 15/11,"100,63 €",,LDE,facture,F14,,,
LEP,04/12/2023,reprise suite tempete,"390,00 €",,LDE,facture,S1G,,,
ORANGE,,ORANGE 300923,"100,00 €",83946271,,,F14,,,
ORANGE,,ORANGE 311023-,"100,00 €",84303657,,,F14,,,
ORANGE,,ORANGE 311023 -,"44,50 €",84288466,,,F14,,,
AMAZON,20/12/2023,sucre,"10,51 €",,ARU,facture,S1D,,,
AMAZON,20/12/2023,Thé + café,"86,05 €",,ARU,facture,S1D,,,
AMAZON,20/12/2023,paillasson,"31,64 €",,ARU,facture,S1D,,,
AMAZON,20/12/2023,Balais ,"18,17 €",,ARU,facture,S1D,,,
AMAZON,20/12/2023,Thé,"13,72 €",,ARU,facture,S1D,,,
AMAZON,20/12/2023,chaise de bureau,"65,83 €",,ARU,facture,S1D,,,
AMAZON,20/12/2023,TV bureau,"349,17 €",,ARU,facture,S1D,,,
AMAZON,20/12/2023,eau,"56,82 €",,ARU,facture,S1D,,,
AMAZON,20/12/2023,multiprise,"13,24 €",,ARU,facture,S1D,,,
SOIB,02/01/2024,balais micro onde,"99,98 €",,LDE,facture,S1D,,,
SOIB,02/01/2024,tapis rouge,"155,00 €",,LDE,facture,S1D,,,
BC2I,20/12/2023,relevé amiante toiture,"200,00 €",,MLP,facture,S3A,,,
ALTRAD,20/12/2023,location base vie novembre 23,"390,00 €",,LDE,facture,S1G,,,
LEP,20/12/2023,Location Parapluie + tunnel + tunnel R3 NOV 23,"2 411,00 €",,MLP,facture,S1G,,,
BT sécurité,16/01/2024,poignée élec,"143,33 €",,LDE,facture,S1D,,,
Studio Jessel,08/01/2024,Film nov 23,"1 625,00 €",,LDE,facture,F14,,,
ORANGE,,ORANGE 301123 -,"44,50 €",84645298,,,F14,,,
ORANGE,,ORANGE 301123 - 44 lignes,"145,28 €",84659896,,,F14,,,
MGA,16/01/2024,Travaux Novembre 23 : base vie R1,"4 400,00 €",,ARU,facture,S1D,,,
MGA,16/01/2024,Travaux Décembre 23 : base vie SS1,"9 790,00 €",,ARU,facture,S1D,,,
AMAZON,16/01/2024,lingette+rallonge,"48,38 €",,ARU,facture,S1D,,,
AMAZON,16/01/2024,thé,"16,55 €",,ARU,facture,S1D,,,
AMAZON,16/01/2024,eau,"57,10 €",,ARU,facture,S1D,,,
LEP,16/01/2024,Location Parapluie + tunnel + tunnel R3 Dec 23,"2 495,50 €",,LDE,facture,S1G,,,
LEP,16/01/2024,Location Cour+Sapine esc rdc r1 dec 23,"5 327,00 €",,LDE,facture,S1G,,,
ALTRAD,16/01/2024,location base vie Dec 23,"1 669,00 €",,LDE,facture,S1G,,,
AMAZON,18/01/2024,chiffon,"46,63 €",,LDE,facture,S1D,,,
AMAZON,18/01/2024, destop,"7,32 €",,ARU,virement,S1D,,,
AMAZON,18/01/2024,rideau ,"23,98 €",,ARU,virement,S1D,,,
AMAZON,18/01/2024,café,"9,57 €",,ARU,virement,S1D,,,
AMAZON,18/01/2024,rideau ,"103,10 €",,ARU,virement,S1D,,,
LEP,29/01/2024,Location etaiement + descente EP,"6 082,00 €",,LDE,facture,S1G,,,
SOIB,01/03/2024,achat visseuse + scie,"818,60 €",,LDE,facture,S1A,,,
DHL,20/02/2024,Retour échantillons BDF,"41,22 €",,LDE,facture,S1D,,,
Studio Jessel,07/02/2024,Film dec 23,"1 625,00 €",,LDE,facture,F14,,,
LEP,07/02/2024,Démontage parapluie + tunnel R3 Janv 24,"6 838,00 €",,LDE,facture,S1G,,,
ORANGE,20/02/2024,box elysée 15/01 16/02,"48,00 €",1F01,LDE,facture,F14,,,
KILOUTOU,19/02/2024,location chauffage 15/01 - 15/02 ,"991,86 €",,LDE,facture,S1A,,,
Studio Jessel,20/02/2024,Film janv 24,"1 625,00 €",,LDE,facture,F14,,,
LEP ,20/02/2024,"Location Janv 24 : tunnel, façade, etaiement","1 789,50 €",,LDE,facture,S1G,,,
SOIB,20/02/2024,Bache armée,"76,00 €",,LDE,facture,S1D,,,
AMAZON,27/02/2024,stylo feutre,"42,00 €",,LDE,facture,,,,
AMAZON,27/02/2024,encre + pile,"445,81 €",,LDE,facture,S1D,,,
